company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
ABB,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83.32
ADANIENSOL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80.0
ADANIENSOL,con,CON_1,Debt-to-equity ratio of 2.93 is elevated and warrants monitoring,79.32
ADANIENSOL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,73.0
ADANIENT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ADANIENT,con,CON_2,Free cash flow is negative and raises concern about cash generation quality,75.0
ADANIGREEN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIGREEN,con,CON_1,Debt-to-equity ratio of 6.60 is elevated and warrants monitoring,100.0
ADANIGREEN,con,CON_2,Free cash flow is negative and raises concern about cash generation quality,75.0
ADANIPORTS,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPOWER,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,92.0
AMBUJACEM,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
AMBUJACEM,con,CON_2,Free cash flow is negative and raises concern about cash generation quality,75.0
APOLLOHOSP,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,90.0
APOLLOHOSP,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99.9
ASIANPAINT,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
ASIANPAINT,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,90.0
ASIANPAINT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81.95
AXISBANK,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
AXISBANK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
AXISBANK,con,CON_1,Debt-to-equity ratio of 8.25 is elevated and warrants monitoring,100.0
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,78.82
AXISBANK,con,CON_2,Free cash flow is negative and raises concern about cash generation quality,75.0
BAJAJ-AUTO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BAJAJ-AUTO,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,90.0
BAJAJFINSV,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,94.0
BAJAJFINSV,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81.18
BAJAJFINSV,con,CON_1,Debt-to-equity ratio of 4.79 is elevated and warrants monitoring,97.89
BAJAJFINSV,con,CON_2,Free cash flow is negative and raises concern about cash generation quality,75.0
BAJAJHLDNG,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJAJHLDNG,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BAJAJHLDNG,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,90.0
BAJAJHLDNG,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77.94
BAJFINANCE,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJFINANCE,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BAJFINANCE,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.11
BAJFINANCE,con,CON_1,Debt-to-equity ratio of 3.82 is elevated and warrants monitoring,88.25
BAJFINANCE,con,CON_2,Free cash flow is negative and raises concern about cash generation quality,75.0
BANKBARODA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BANKBARODA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BANKBARODA,con,CON_1,Debt-to-equity ratio of 12.14 is elevated and warrants monitoring,100.0
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,81.01
BANKBARODA,con,CON_2,Free cash flow is negative and raises concern about cash generation quality,75.0
BEL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BEL,con,CON_2,Free cash flow is negative and raises concern about cash generation quality,75.0
BHARTIARTL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BHARTIARTL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BHARTIARTL,con,CON_1,Debt-to-equity ratio of 2.61 is elevated and warrants monitoring,76.1
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.16
BHEL,con,CON_2,Free cash flow is negative and raises concern about cash generation quality,75.0
BOSCHLTD,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BOSCHLTD,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,90.0
BPCL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BPCL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,96.13
BRITANNIA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
CANBK,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,90.0
CANBK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
